"for link: https://proselyte.net/tutorials/sql/introduction/  sql :25","бд :9","Select :2","drop :2"
"for link: https://proselyte.net/tutorials/sql/sql-where-clause/  sql :6","бд :1","Select :4","drop :0"
"for link: https://proselyte.net/tutorials/sql/sql-like-clause/  sql :4","бд :0","Select :4","drop :0"
"for link: https://proselyte.net/tutorials/sql/sql-top-clause/  sql :6","бд :1","Select :3","drop :0"
"for link: https://proselyte.net/tutorials/sql/sql-select-query/  sql :7","бд :2","Select :5","drop :0"
"for link: https://proselyte.net/tutorials/sql/nested-queries/  sql :11","бд :0","Select :15","drop :0"
"for link: https://proselyte.net/tutorials/sql/sql-basic-syntax/  sql :7","бд :0","Select :14","drop :7"
"for link: https://proselyte.net/tutorials/sql/sql-operators/  sql :10","бд :0","Select :0","drop :0"
"for link: https://proselyte.net/tutorials/sql/sql-using-truncate/  sql :6","бд :0","Select :1","drop :1"
